fastbaps_cluster	genome_1	genome_2	dist	patient.x	country.x	patient.y	country.y
fastbaps_cluster_01	23IE184_S23_L001	23IE184_S23_L001	0	P01	Ireland	P01	Ireland
fastbaps_cluster_01	23IE184_S23_L001	23IE185_S24_L001	0	P01	Ireland	P01	Ireland
fastbaps_cluster_01	23IE184_S23_L001	ERR12861441	82	P01	Ireland	Wetzstein_131	Germany
fastbaps_cluster_01	23IE184_S23_L001	ERR12861595	111	P01	Ireland	Wetzstein_090	Germany
fastbaps_cluster_01	23IE184_S23_L001	ERR12861602	102	P01	Ireland	Wetzstein_090	Germany
fastbaps_cluster_01	23IE184_S23_L001	ERR12861605	102	P01	Ireland	Wetzstein_090	Germany
fastbaps_cluster_01	23IE184_S23_L001	ERR12861612	111	P01	Ireland	Wetzstein_090	Germany
fastbaps_cluster_01	23IE184_S23_L001	ERR12861620	110	P01	Ireland	Wetzstein_090	Germany
fastbaps_cluster_01	23IE184_S23_L001	ERR12861624	102	P01	Ireland	Wetzstein_090	Germany
fastbaps_cluster_01	23IE184_S23_L001	ERR12861630	102	P01	Ireland	Wetzstein_090	Germany
fastbaps_cluster_01	23IE184_S23_L001	ERR12861633	110	P01	Ireland	Wetzstein_090	Germany
fastbaps_cluster_01	23IE184_S23_L001	ERR12861634	110	P01	Ireland	Wetzstein_090	Germany
fastbaps_cluster_01	23IE184_S23_L001	ERR12861649	106	P01	Ireland	Wetzstein_090	Germany
fastbaps_cluster_01	23IE184_S23_L001	ERR12861674	82	P01	Ireland	Wetzstein_131	Germany
fastbaps_cluster_01	23IE185_S24_L001	23IE184_S23_L001	0	P01	Ireland	P01	Ireland
fastbaps_cluster_01	23IE185_S24_L001	23IE185_S24_L001	0	P01	Ireland	P01	Ireland
fastbaps_cluster_01	23IE185_S24_L001	ERR12861441	82	P01	Ireland	Wetzstein_131	Germany
fastbaps_cluster_01	23IE185_S24_L001	ERR12861595	111	P01	Ireland	Wetzstein_090	Germany
fastbaps_cluster_01	23IE185_S24_L001	ERR12861602	102	P01	Ireland	Wetzstein_090	Germany
fastbaps_cluster_01	23IE185_S24_L001	ERR12861605	102	P01	Ireland	Wetzstein_090	Germany
fastbaps_cluster_01	23IE185_S24_L001	ERR12861612	111	P01	Ireland	Wetzstein_090	Germany
fastbaps_cluster_01	23IE185_S24_L001	ERR12861620	110	P01	Ireland	Wetzstein_090	Germany
