gene_id	n	annotation_id	gene_length	p	size	dn	ds	dn_ds	locus_tag	pos	gene_id_prokka	bonferroni	fdr	holm
COQ5_3	2	IMFOIEKC_03961	750	0.28234151242165195	3	2	1	2	IMFOIEKC_03961:COQ5_5	4.231466	COQ5	1	0.47909730209197254	1
COQ5_4~~~COQ5_2	2	IMFOIEKC_00795	972	0.3942075734199423	2	2	0	Inf	IMFOIEKC_00795:COQ5_1	0.786812	COQ5	1	0.5536504580264011	1
COQ5_8~~~COQ5_7	1	IMFOIEKC_03849	627	0.5840328811470753	1	1	0	Inf	IMFOIEKC_03849:COQ5_4	4.129887	COQ5	1	0.6972299321242877	1
COQ5_9~~~COQ5_11~~~COQ5_1	2	IMFOIEKC_04559	747	0.2807992268798136	3	2	2	1	IMFOIEKC_04559:COQ5_6	4.863648	COQ5	1	0.4780272552834922	1
Dml	1	IMFOIEKC_02558	768	0.658498319865399	4	1	3	0.3333333333333333	IMFOIEKC_02558:Dml	2.766445	Dml	1	0.7409283670588502	1
Hgd	3	IMFOIEKC_03338	816	0.10809179213916507	2	3	0	Inf	IMFOIEKC_03338:Hgd	3.609976	Hgd	1	0.28154969592305507	1
PE5_1~~~PE5_2	1	IMFOIEKC_00419	306	0.3482422387129583	1	1	0	Inf	IMFOIEKC_00419:PE5_1	0.424035	PE5	1	0.5234745603619371	1
PE5_2	1	IMFOIEKC_04286	309	0.3509718594313878	1	1	0	Inf	IMFOIEKC_04286:PE5_2	4.562007	PE5	1	0.5234745603619371	1
PPE2_2~~~PPE3_2~~~PPE3_1~~~PPE3_4	5	IMFOIEKC_04290	1467	0.05749288920025725	5	5	1	5	IMFOIEKC_04290:PPE3_3	4.570094	PPE3	1	0.20277200608072793	1
PPE2~~~PPE2_2~~~PPE2_1	4	IMFOIEKC_02924	1659	0.2049108886678709	5	4	2	2	IMFOIEKC_02924:PPE2	3.180055	PPE2	1	0.4067442156406203	1
PPE3_6~~~PPE3_1~~~PPE3_2~~~PPE3_3	4	IMFOIEKC_03774	1596	0.18712390102394016	3	4	0	Inf	IMFOIEKC_03774:PPE3_2	4.052632	PPE3	1	0.38455232202444434	1
PPE4_2~~~PPE3_2~~~PPE3_4	1	IMFOIEKC_01097	1458	0.8699304976633695	3	1	2	0.5	IMFOIEKC_01097:PPE3_1	1.088344	PPE3	1	0.881701464448763	1
PPE4~~~PPE4_1~~~PPE4_2	3	IMFOIEKC_04285	1482	0.3431445875111946	3	3	0	Inf	IMFOIEKC_04285:PPE4	4.560522	PPE4	1	0.5215134648841634	1
QRSL1~~~nylA	3	IMFOIEKC_00593	1497	0.3488147238864995	3	3	1	3	IMFOIEKC_00593:nylA	0.591536	nylA	1	0.5234745603619371	1
SIRT4~~~cobB_6~~~cobB_2	1	IMFOIEKC_02564	849	0.6950838895111701	3	1	2	0.5	IMFOIEKC_02564:cobB_2	2.772274	cobB	1	0.758755696183949	1
aao_1~~~aao	4	IMFOIEKC_01606	966	0.048396637937164616	3	4	0	Inf	IMFOIEKC_01606:aao	1.735966	aao	1	0.18082639305263642	1
abaF_3~~~abaF_1~~~abaF_2	3	IMFOIEKC_00631	1320	0.2818952211852361	3	3	3	1	IMFOIEKC_00631:abaF_1	0.629241	abaF	1	0.47909730209197254	1
accA1_1	6	IMFOIEKC_02621	2016	0.06689548981014988	7	6	2	3	IMFOIEKC_02621:accA1_1	2.837939	accA1	1	0.22110427009213673	1
accA1_2	7	IMFOIEKC_03169	1992	0.023874699597832366	9	7	4	1.75	IMFOIEKC_03169:accA1_2	3.437229	accA1	1	0.1273047541267468	1
accD3	4	IMFOIEKC_03228	1437	0.14474138983389814	4	4	0	Inf	IMFOIEKC_03228:accD3	3.507003	accD3	1	0.325254580298174	1
accD5_1	3	IMFOIEKC_00250	1575	0.378188380172112	5	3	4	0.75	IMFOIEKC_00250:accD5_1	0.251427	accD5	1	0.5417944644906486	1
accD5_2	6	IMFOIEKC_03168	1596	0.026500507484011924	5	6	2	3	IMFOIEKC_03168:accD5_2	3.435628	accD5	1	0.13152651949528554	1
accD5_3	1	IMFOIEKC_03678	1641	0.8993087476704275	2	1	1	1	IMFOIEKC_03678:accD5_3	3.948395	accD5	1	0.903905853089829	1
accD6	8	IMFOIEKC_02213	1422	0.0010605102264956846	5	8	3	2.6666666666666665	IMFOIEKC_02213:accD6	2.372299	accD6	1	0.028711924798564926	1
acdA_2~~~caiA_5	2	IMFOIEKC_02680	1149	0.4774584841529761	4	2	2	1	IMFOIEKC_02680:acdA_4	2.911624	acdA	1	0.6186509024486255	1
acdA_4	7	IMFOIEKC_03840	1161	0.0014534307673702692	5	7	1	7	IMFOIEKC_03840:acdA_5	4.119486	acdA	1	0.03313400865323817	1
acdA_5	7	IMFOIEKC_00339	1383	0.0037988404498763384	8	7	3	2.3333333333333335	IMFOIEKC_00339:acdA_1	0.348839	acdA	1	0.056669488523665365	1
acdA_6	1	IMFOIEKC_00445	1212	0.81650020516592825	4	1	3	0.3333333333333333	IMFOIEKC_00445:acdA_2	0.447616	acdA	1	0.8383517119621444	1
acdA_7~~~bcd	4	IMFOIEKC_00671	1206	0.09127640200724271	4	4	1	4	IMFOIEKC_00671:bcd	0.669684	bcd	1	0.2570913952263836	1
aceE	4	IMFOIEKC_02207	2790	0.5473740921488062	5	4	6	0.6666666666666666	IMFOIEKC_02207:aceE	2.363798	aceE	1	0.6682630243189214	1
acg_3~~~acg~~~acg_2	4	IMFOIEKC_01724	999	0.05345077997802393	3	4	1	4	IMFOIEKC_01724:acg_1	1.855297	acg	1	0.19195907969276632	1
ackA	5	IMFOIEKC_04180	1164	0.02528101137792408	5	5	1	5	IMFOIEKC_04180:ackA	4.450375	ackA	1	0.1297344423843072	1
acn	6	IMFOIEKC_01152	2814	0.2050528690419656	5	6	6	1	IMFOIEKC_01152:acn	1.149736	acn	1	0.4067442156406203	1
acoA~~~acoA_1	2	IMFOIEKC_01465	993	0.4044223152836737	2	2	0	Inf	IMFOIEKC_01465:acoA	1.582424	acoA	1	0.5624724155094771	1
acoB~~~bkdA2	5	IMFOIEKC_01464	1011	0.014827310029911124	6	5	3	1.6666666666666667	IMFOIEKC_01464:bkdA2	1.581402	bkdA2	1	0.1027460734671815	1
acpM	2	IMFOIEKC_02210	348	0.08623926213906155	2	2	1	2	IMFOIEKC_02210:acpM	2.369322	acpM	1	0.25252472909905	1
acpS_1~~~acpS	1	IMFOIEKC_02641	393	0.42293016953801915	1	1	0	Inf	IMFOIEKC_02641:acpS	2.859346	acpS	1	0.5779923168404032	1
acr1	6	IMFOIEKC_04019	897	0.0018738200349180968	4	6	0	Inf	IMFOIEKC_04019:acr1	4.298034	acr1	1	0.038783143617449556	1
acrC_1~~~mmgC_5	1	IMFOIEKC_04189	1149	0.7995934317691111	4	1	4	0.25	IMFOIEKC_04189:mmgC_8	4.459341	mmgC	1	0.8274739922189551	1
acrC_3~~~mmgC_10~~~mmgC_8	5	IMFOIEKC_01699	1164	0.02528101137792408	4	5	1	5	IMFOIEKC_01699:mmgC_1	1.828041	mmgC	1	0.1297344423843072	1
acsA~~~acsA_1	2	IMFOIEKC_00057	1953	0.757118583483437	4	2	5	0.4	IMFOIEKC_00057:acsA	0.06028	acsA	1	0.7982222063133019	1
acyP	1	IMFOIEKC_00898	294	0.33720847222151945	1	1	0	Inf	IMFOIEKC_00898:acyP	0.891048	acyP	1	0.5180189961311422	1
adc	4	IMFOIEKC_01860	804	0.027609737377366696	5	4	1	4	IMFOIEKC_01860:adc	2.018455	adc	1	0.13351087661779815	1
add	5	IMFOIEKC_03720	1101	0.020534757747227926	4	5	1	5	IMFOIEKC_03720:add	3.991172	add	1	0.11875431594260856	1
adhA	5	IMFOIEKC_01548	1029	0.015871533390852857	3	5	1	5	IMFOIEKC_01548:adhA	1.677323	adhA	1	0.10596476253586873	1
adhC_2~~~adhC	4	IMFOIEKC_00788	1041	0.06028034842134954	6	4	4	1	IMFOIEKC_00788:adhC	0.778875	adhC	1	0.20703272503664374	1
adk	2	IMFOIEKC_03855	546	0.17827031255051068	2	2	0	Inf	IMFOIEKC_03855:adk	4.134528	adk	1	0.3753938442328692	1
adoK	3	IMFOIEKC_02155	975	0.1578681042566568	4	3	3	1	IMFOIEKC_02155:adoK	2.311029	adoK	1	0.34489795554961267	1
aes_1~~~lipF~~~aes_8~~~aes_3	2	IMFOIEKC_02501	1005	0.41022197380103687	3	2	1	2	IMFOIEKC_02501:aes_3	2.691327	aes	1	0.5665313123696497	1
aftB	12	IMFOIEKC_00256	1983	3.4240702260628797e-5	8	12	3	4	IMFOIEKC_00256:aftB	0.264201	aftB	0.053860624655969094	0.003927220306607472	0.053449736228841555
aftC	2	IMFOIEKC_01883	1287	0.5373011165991861	4	2	2	1	IMFOIEKC_01883:aftC	2.036944	aftC	1	0.6602927003207186	1
aftD_2~~~aftD	11	IMFOIEKC_04339	4182	0.03674829630182264	6	11	5	2.2	IMFOIEKC_04339:aftD	4.621536	aftD	1	0.15750700295031886	1
ahcY_1~~~ahcY	10	IMFOIEKC_03639	1491	6.556530856847423e-5	9	10	3	3.3333333333333335	IMFOIEKC_03639:ahcY	3.906322	ahcY	0.10313423037820996	0.004911153827533807	0.10182292420684047
ahpC	1	IMFOIEKC_01566	588	0.5607073907050676	2	1	1	1	IMFOIEKC_01566:ahpC	1.699543	ahpC	1	0.6795013294137684	1
aidA_3~~~aidA	1	IMFOIEKC_01713	897	0.7148867346237762	2	1	1	1	IMFOIEKC_01713:aidA	1.84125	aidA	1	0.7712735483972564	1
aidB	7	IMFOIEKC_03922	1629	0.008934493951115795	6	7	2	3.5	IMFOIEKC_03922:aidB	4.190904	aidB	1	0.07724968797030535	1
alaS_2~~~alaS~~~alaS_1	14	IMFOIEKC_01031	2703	4.2442940376558826e-5	10	14	7	2	IMFOIEKC_01031:alaS	1.020066	alaS	0.06676274521232703	0.003927220306607472	0.06608449008714588
aldH1	2	IMFOIEKC_04474	1422	0.5910966805832981	2	2	1	2	IMFOIEKC_04474:aldH1	4.773115	aldH1	1	0.7012029250056772	1
ald_1	7	IMFOIEKC_04495	1437	0.00465909416897903	8	7	3	2.3333333333333335	IMFOIEKC_04495:ald_5	4.793223	ald	1	0.058800228671295036	1
ald_4~~~ald_3	5	IMFOIEKC_00614	1470	0.057892126582264114	5	5	2	2.5	IMFOIEKC_00614:ald_1	0.610731	ald	1	0.20356343041592562	1
ald_5	2	IMFOIEKC_01983	1122	0.4652047072109896	3	2	1	2	IMFOIEKC_01983:ald_2	2.131829	ald	1	0.6092980886285484	1
ald_7~~~gbsA~~~ald_5~~~ald_4	1	IMFOIEKC_03312	1542	0.8843514156475335	2	1	1	1	IMFOIEKC_03312:ald_4	3.585872	ald	1	0.8928657104066562	1
algC	4	IMFOIEKC_03648	1416	0.13945191350185943	2	4	1	4	IMFOIEKC_03648:algC	3.915575	algC	1	0.31976364422510917	1
alkA	4	IMFOIEKC_02765	1500	0.16106290832598355	3	4	0	Inf	IMFOIEKC_02765:alkA	3.004378	alkA	1	0.34993363922206094	1
alkB	3	IMFOIEKC_03643	1248	0.25494080969251	3	3	1	3	IMFOIEKC_03643:alkB	3.908926	alkB	1	0.4520516777868514	1
alkF	1	IMFOIEKC_03642	174	0.21605730719382543	1	1	0	Inf	IMFOIEKC_03642:alkF	3.908756	alkF	1	0.4185445125811421	1
