gene.id	gene.name	cds.id	chr	chr.coding.start	chr.coding.end	cds.start	cds.end	length	strand
IMFOIEKC_00001:dnaA	IMFOIEKC_00001:dnaA	IMFOIEKC_00001:dnaA	gnl|X|IMFOIEKC_1	34	1530	1	1497	1497	1
IMFOIEKC_00002:dnaN	IMFOIEKC_00002:dnaN	IMFOIEKC_00002:dnaN	gnl|X|IMFOIEKC_1	2100	3299	1	1200	1200	1
IMFOIEKC_00003:recF	IMFOIEKC_00003:recF	IMFOIEKC_00003:recF	gnl|X|IMFOIEKC_1	3300	4457	1	1158	1158	1
IMFOIEKC_00004:IMFOIEKC_00004	IMFOIEKC_00004:IMFOIEKC_00004	IMFOIEKC_00004:IMFOIEKC_00004	gnl|X|IMFOIEKC_1	4454	4999	1	546	546	1
IMFOIEKC_00005:gyrB	IMFOIEKC_00005:gyrB	IMFOIEKC_00005:gyrB	gnl|X|IMFOIEKC_1	5258	7291	1	2034	2034	1
IMFOIEKC_00006:gyrA1	IMFOIEKC_00006:gyrA1	IMFOIEKC_00006:gyrA1	gnl|X|IMFOIEKC_1	7303	9822	1	2520	2520	1
IMFOIEKC_00007:IMFOIEKC_00007	IMFOIEKC_00007:IMFOIEKC_00007	IMFOIEKC_00007:IMFOIEKC_00007	gnl|X|IMFOIEKC_1	9925	10788	1	864	864	1
IMFOIEKC_00010:IMFOIEKC_00010	IMFOIEKC_00010:IMFOIEKC_00010	IMFOIEKC_00010:IMFOIEKC_00010	gnl|X|IMFOIEKC_1	11933	13147	1	1215	1215	1
IMFOIEKC_00011:ppiA	IMFOIEKC_00011:ppiA	IMFOIEKC_00011:ppiA	gnl|X|IMFOIEKC_1	13691	14221	1	531	531	1
IMFOIEKC_00012:IMFOIEKC_00012	IMFOIEKC_00012:IMFOIEKC_00012	IMFOIEKC_00012:IMFOIEKC_00012	gnl|X|IMFOIEKC_1	14233	14592	1	360	360	-1
IMFOIEKC_00013:crgA	IMFOIEKC_00013:crgA	IMFOIEKC_00013:crgA	gnl|X|IMFOIEKC_1	14814	15095	1	282	282	-1
IMFOIEKC_00014:IMFOIEKC_00014	IMFOIEKC_00014:IMFOIEKC_00014	IMFOIEKC_00014:IMFOIEKC_00014	gnl|X|IMFOIEKC_1	15226	15969	1	744	744	1
IMFOIEKC_00015:trpG	IMFOIEKC_00015:trpG	IMFOIEKC_00015:trpG	gnl|X|IMFOIEKC_1	16018	16704	1	687	687	1
IMFOIEKC_00016:pknB	IMFOIEKC_00016:pknB	IMFOIEKC_00016:pknB	gnl|X|IMFOIEKC_1	16682	18562	1	1881	1881	-1
IMFOIEKC_00017:pknA	IMFOIEKC_00017:pknA	IMFOIEKC_00017:pknA	gnl|X|IMFOIEKC_1	18559	19842	1	1284	1284	-1
IMFOIEKC_00018:pbpA	IMFOIEKC_00018:pbpA	IMFOIEKC_00018:pbpA	gnl|X|IMFOIEKC_1	19839	21317	1	1479	1479	-1
IMFOIEKC_00019:rodA	IMFOIEKC_00019:rodA	IMFOIEKC_00019:rodA	gnl|X|IMFOIEKC_1	21314	22723	1	1410	1410	-1
IMFOIEKC_00020:pstP	IMFOIEKC_00020:pstP	IMFOIEKC_00020:pstP	gnl|X|IMFOIEKC_1	22720	24219	1	1500	1500	-1
IMFOIEKC_00021:fhaB	IMFOIEKC_00021:fhaB	IMFOIEKC_00021:fhaB	gnl|X|IMFOIEKC_1	24284	24751	1	468	468	-1
IMFOIEKC_00022:fhaA	IMFOIEKC_00022:fhaA	IMFOIEKC_00022:fhaA	gnl|X|IMFOIEKC_1	24876	26429	1	1554	1554	-1
IMFOIEKC_00024:IMFOIEKC_00024	IMFOIEKC_00024:IMFOIEKC_00024	IMFOIEKC_00024:IMFOIEKC_00024	gnl|X|IMFOIEKC_1	26936	27373	1	438	438	1
IMFOIEKC_00025:IMFOIEKC_00025	IMFOIEKC_00025:IMFOIEKC_00025	IMFOIEKC_00025:IMFOIEKC_00025	gnl|X|IMFOIEKC_1	27394	27756	1	363	363	-1
