snp-dists 0.8.2	ERR12861620	ERR3524767	ERR4022294	ERR12861515	ERR12861619	23IE200_S39_L001	23IE167_S6_L001	23IE195_S34_L001	ERR12861633	ERR3524774	ERR12861582	ERR3337544	ERR12861624	ERR12861595	ERR3468923	ERR3468864	ERR12861441	ERR3337527	22IE192b_S8_L001	22IE243_S11_L001	ERR4022309	ERR12861572	ERR4022330	ERR6057651	ERR12861669	22IE83_L001	23IE168_S7_L001	ERR12861643	ERR3337601	ERR12861561	ERR3468814	ERR4022334	ERR6057642	23IE193_S32_L001	23IE179_S18_L001	23IE171_S10_L001	ERR12861548	ERR3468880	ERR12861436	ERR4022333	ERR3566339	ERR3468884	ERR4022430	23IE187_S26_L001	ERR12861657	23IE198_S37_L001	ERR3566300	ERR4022320	22IE327_S2_L001	ERR3468817	ERR3566317	ERR12861634	23IE181_S20_L001	ERR3337543	23IE189_S28_L001	23IE202_S41_L001	ERR3566299	ERR3468924	ERR3337480	ERR3524829	ERR6057622	ERR12861894	ERR12861516	23IE177_S16_L001	ERR12861630	ERR12861581	ERR3524777	ERR2988413	ERR2988387	ERR3566237	ERR3337493	ERR12861512	ERR4022350	ERR3337484	ERR12861505	ERR2988437	23IE174_S13_L001	ERR3468913	23IE170_S9_L001	ERR12861603	ERR12861448	ERR2988424	ERR12861629	ERR12861525	ERR3566347	ERR3468869	ERR12861610	ERR12861607	ERR3566274	ERR4022304	ERR3468899	ERR12861551	ERR12861546	23IE169_S8_L001	23IE184_S23_L001	ERR12861907	23IE190_S29_L001	ERR12861568	ERR12861438	ERR12861664	ERR12861673	ERR12861492	ERR4022397	ERR4022403	23IE192_S31_L001	ERR3566337	ERR3337584	ERR12861555	ERR4022429	ERR3337469	ERR12861659	23IE162_S1_L001	ERR12861677	ERR12861660	ERR12861649	ERR3337583	ERR6057648	ERR12861670	ERR12861491	ERR12861486	ERR12861904	ERR4022417	ERR12861556	23IE205_S44_L001	23IE186_S25_L001	ERR4022413	ERR12861663	ERR12861482	ERR12861674	ERR12861495	ERR3566357	ERR2988423	ERR4022377	ERR12861472	ERR12861535	ERR12861684	ERR3337559	ERR3566340	23IE203_S42_L001	ERR12861617	ERR4022364	ERR3566353	ERR3337423	23IE176_S15_L001	ERR12861579	ERR12861494	ERR12861662	ERR4022412	ERR2988441	ERR3566322	23IE191_S30_L001	ERR12861557	23IE199_S38_L001	ERR12861487	ERR12861671	ERR4022306	ERR3468976	ERR3468826	23IE178_S17_L001	23IE204_S43_L001	ERR3337595	ERR12861544	ERR3337478	ERR3468986	ERR12861612	ERR3337422	ERR12861605	ERR12861509	ERR3524821	ERR4339043	ERR3566352	ERR4339054	ERR12861681	ERR4022288	ERR3468878	ERR3468928	ERR12861589	ERR3337654	ERR12861685	23IE188_S27_L001	ERR3566356	ERR12861473	ERR3468906	23IE197_S36_L001	ERR6057683	23IE175_S14_L001	ERR3337566	ERR12861611	ERR4022366	ERR12861533	ERR12861682	ERR3468916	23IE166_S5_L001	ERR3566296	23IE183_S22_L001	ERR12861602	ERR12861470	ERR3524808	ERR2988421	ERR3337657	23IE185_S24_L001	ERR12861497	23IE206_S45_L001	ERR12861658	ERR3337592	23IE173_S12_L001	ERR12861672	ERR3337442	ERR12861493	ERR12861665	ERR4022415	ERR12861569	ERR3468832	ERR12861547	ERR2988378	ERR3468825	ERR12861550	ERR3468898	ERR12861499	ERR12861678	ERR3337448	ERR3468951	ERR3468955	ERR12861437	ERR2988361	ERR3566396	ERR12861454	ERR2988386	ERR4022346	ERR12861513	ERR12861631	ERR3337401	ERR3337551	ERR6057609	ERR12861580	ERR4022285	ERR3337416	ERR3337496	23IE196_S35_L001	ERR12861517	ERR2988416	ERR3566298	ERR4022355	ERR12861500	ERR12861593	ERR4022296	ERR12861635	ERR3337555	ERR12861584	ERR3337491	ERR12861510	ERR6057624	ERR3566288	ERR2988406	ERR12861457	ERR3337667	ERR3337415	ERR4022291	ERR3337649	23IE194_S33_L001	ERR3337482	ERR3468926	ERR12861503	ERR3337495	ERR3468931	ERR12861514	ERR12861636	23IE201_S40_L001	23IE182_S21_L001	ERR12861621	ERR3524766	23IE163_S2_L001	ERR3524848	ERR12861560	23IE207_S46_L001	23IE164_S3_L001	ERR3566386	23IE180_S19_L001	ERR12861559	ERR3468891	ERR6057647	ERR3337613	ERR12861573	ERR3468956	ERR3468806	23IE165_S4_L001	23IE172_S11_L001
ERR12861620	0	74	74	95	73	67	81	65	0	74	95	99	0	0	66	68	14	70	77	109	65	86	74	65	87	77	67	73	83	95	73	74	66	66	83	32	73	83	90	65	71	98	71	76	66	43	74	83	65	103	66	0	65	61	76	66	61	66	83	59	66	61	93	77	0	72	74	74	98	65	83	93	83	64	93	74	83	74	88	73	10	83	95	93	66	61	73	73	103	74	74	80	92	73	9	61	76	86	75	95	90	93	76	66	66	66	66	80	71	61	85	81	93	65	0	66	61	66	75	93	61	103	95	82	75	71	82	93	14	71	66	73	83	60	95	87	61	66	67	86	61	66	83	81	72	93	82	76	70	66	82	73	76	87	67	98	70	70	82	73	74	72	83	74	0	74	0	93	62	74	71	81	86	76	103	71	73	70	87	80	90	93	74	109	61	76	83	67	83	73	73	66	67	74	66	0	75	74	74	74	9	93	76	93	83	66	67	98	75	95	103	73	66	72	70	66	92	74	93	93	74	66	61	99	73	66	96	74	83	73	86	83	74	103	86	103	70	83	82	66	83	74	83	93	85	74	85	74	73	83	95	66	61	98	86	74	74	68	74	80	83	74	95	83	74	95	72	65	66	92	74	61	61	86	80	59	66	88	67	74	71	70	67	74	74	59	75
ERR3524767	74	0	12	73	11	85	71	95	74	0	73	107	74	74	104	104	66	20	76	122	99	97	0	94	77	76	25	11	69	73	0	0	104	29	87	22	1	69	90	99	105	106	27	10	89	61	12	69	95	121	95	74	96	27	2	95	27	95	69	90	95	28	84	101	74	13	0	0	106	99	69	84	69	93	84	12	87	12	95	11	40	69	73	84	95	99	11	11	121	0	0	29	78	107	65	28	10	97	51	73	90	84	2	104	95	104	95	29	27	27	51	71	84	99	74	95	27	89	1	84	28	110	73	106	1	27	64	84	66	12	95	1	69	109	73	77	27	104	61	97	27	96	69	71	13	84	64	2	20	104	106	11	2	77	23	106	20	20	106	17	12	13	69	0	74	0	74	84	88	12	27	34	76	2	121	27	11	20	77	104	90	84	0	122	27	2	69	31	69	1	11	95	25	0	95	74	51	12	0	0	65	84	2	84	69	29	23	106	1	73	121	11	95	13	20	95	78	0	84	84	0	104	27	90	0	104	141	0	69	11	97	69	0	121	97	110	20	69	106	89	69	0	69	84	51	0	51	0	11	69	73	95	27	106	97	0	0	102	0	29	69	0	73	69	12	73	32	95	29	78	0	27	27	97	104	29	104	95	23	12	105	20	31	0	0	29	1
ERR4022294	74	12	0	75	19	87	73	93	74	12	75	99	74	74	104	96	70	24	74	116	99	97	12	88	69	74	27	19	71	75	12	12	104	31	77	25	11	71	84	99	97	98	29	16	91	59	0	71	93	111	89	74	94	35	14	89	35	89	71	89	89	30	76	97	74	17	12	12	98	99	71	76	71	88	76	0	77	0	97	19	41	71	75	76	89	99	19	19	111	12	12	31	76	105	69	30	16	97	55	75	84	76	14	104	89	104	89	31	29	35	55	73	76	99	74	89	35	91	13	76	30	110	75	102	13	29	64	76	70	18	89	11	71	102	75	69	35	104	57	97	35	90	71	73	17	76	64	14	24	104	102	19	14	69	27	98	24	24	102	21	0	17	71	12	74	12	74	76	82	0	29	34	68	14	111	29	19	24	69	100	84	76	12	116	35	14	71	33	71	11	19	89	27	12	89	74	55	0	12	12	69	76	14	76	71	31	27	98	13	75	111	19	89	17	24	89	76	12	76	76	12	104	35	84	12	104	135	12	71	19	97	71	12	111	97	110	24	71	102	91	71	12	71	76	55	12	55	12	19	71	75	89	35	98	97	12	12	102	12	31	71	12	75	71	0	75	36	93	31	76	12	35	35	97	100	35	104	97	27	0	97	24	33	12	12	35	13
ERR12861515	95	73	75	0	78	100	94	98	95	73	0	98	95	95	107	99	89	77	95	109	106	98	73	102	86	95	68	78	76	0	72	73	107	69	92	47	72	76	97	106	102	97	72	77	89	69	75	76	98	100	103	95	99	64	73	103	64	103	76	98	103	67	90	95	95	75	73	73	97	106	76	90	76	101	90	75	92	75	100	78	44	76	0	90	103	100	78	78	100	73	73	81	83	110	90	67	77	98	60	0	97	90	73	107	103	107	103	81	72	64	52	94	90	106	95	103	64	89	74	90	67	106	0	99	72	72	54	90	89	80	103	72	76	107	0	86	64	107	64	98	64	103	76	94	75	90	54	73	77	107	99	78	73	86	88	97	77	77	99	74	75	75	76	73	95	73	95	90	96	75	72	84	84	73	100	72	78	77	86	98	97	90	73	109	64	73	76	76	76	72	78	103	68	73	103	95	60	75	73	73	90	90	73	90	76	69	88	97	74	0	100	78	103	75	77	103	83	73	90	90	73	107	64	43	73	107	138	73	76	78	98	76	73	100	98	106	77	76	99	89	76	73	76	90	52	73	52	73	78	76	0	103	64	97	98	73	73	107	73	81	76	73	0	76	75	0	81	98	69	83	73	64	64	98	97	64	107	100	88	75	102	77	76	73	73	64	72
ERR12861619	73	11	19	78	0	92	72	92	73	11	78	104	73	73	99	102	69	23	79	113	96	96	11	93	70	79	32	0	66	78	11	11	99	34	82	27	12	66	79	96	104	103	34	15	94	67	19	66	92	114	94	73	93	38	13	94	38	94	66	87	94	39	75	94	73	18	11	11	103	96	66	75	66	92	75	19	82	19	94	0	42	66	78	75	94	98	0	0	114	11	11	24	77	102	68	39	15	96	60	78	79	75	13	99	94	99	94	24	34	38	56	72	75	96	73	94	38	94	12	75	39	105	78	99	12	34	63	75	69	15	94	12	66	102	78	70	38	99	53	96	38	95	66	72	18	75	63	13	23	99	99	0	13	70	24	103	23	23	99	22	19	18	66	11	73	11	73	75	88	19	34	29	67	13	114	34	0	23	70	97	79	75	11	113	38	13	66	36	66	12	0	94	32	11	94	73	60	19	11	11	68	75	13	75	66	34	24	103	12	78	114	0	94	18	23	94	77	11	75	75	11	99	38	89	11	99	134	11	66	0	96	66	11	114	96	105	23	66	99	94	66	11	66	75	56	11	56	11	0	66	78	94	38	103	96	11	11	99	11	24	66	11	78	66	19	78	27	92	34	77	11	38	38	96	97	38	99	94	24	19	104	23	36	11	11	38	12
23IE200_S39_L001	67	85	87	100	92	0	100	64	67	85	100	112	67	67	65	75	69	85	77	111	68	93	85	63	92	77	82	92	90	100	84	85	65	77	100	41	84	90	93	68	78	111	84	87	73	0	87	90	64	112	63	67	64	74	87	63	74	63	90	60	63	79	102	94	67	87	85	85	111	68	90	102	90	61	102	87	100	87	89	92	47	90	100	102	63	58	92	92	112	85	85	91	99	72	72	79	87	93	90	100	93	102	87	65	63	65	63	91	84	74	98	100	102	68	67	63	74	73	84	102	79	102	100	99	86	84	93	102	69	86	63	84	90	63	100	92	74	65	73	93	74	63	90	100	87	102	93	87	85	65	99	92	87	92	88	111	85	85	99	86	87	87	90	85	67	85	67	102	60	87	84	94	98	87	112	84	92	85	92	97	93	102	85	111	74	87	90	86	90	84	92	63	82	85	63	67	90	87	85	85	72	102	87	102	90	77	88	111	84	100	112	92	63	87	85	63	99	85	102	102	85	65	74	99	84	65	97	85	90	92	93	90	85	112	93	102	85	90	99	73	90	85	90	102	98	85	98	85	92	90	100	63	74	111	93	85	85	71	85	91	90	85	100	90	87	100	93	64	77	99	85	74	74	93	97	74	65	89	88	87	78	85	86	85	85	74	86
23IE167_S6_L001	81	71	73	94	72	100	0	98	81	71	94	110	81	81	101	103	79	71	97	121	100	99	71	98	97	97	72	72	102	94	70	71	101	70	93	51	70	102	98	100	104	109	76	75	92	72	73	102	98	113	99	81	99	72	73	99	72	99	102	91	99	67	108	102	81	68	71	71	109	100	102	108	102	97	108	73	93	73	104	72	57	102	94	108	99	102	72	72	113	71	71	79	106	107	78	67	75	99	82	94	98	108	73	101	99	101	99	79	76	72	78	0	108	100	81	99	72	92	72	108	67	119	94	109	72	76	87	108	79	73	99	70	102	103	94	97	72	101	72	99	72	100	102	0	68	108	87	73	71	101	109	72	73	97	78	109	71	71	109	72	73	68	102	71	81	71	81	108	94	73	76	80	100	73	113	76	72	71	97	105	98	108	71	121	72	73	102	78	102	70	72	99	72	71	99	81	82	73	71	71	78	108	73	108	102	70	78	109	72	94	113	72	99	68	71	99	106	71	108	108	71	101	72	105	71	101	137	71	102	72	99	102	71	113	99	119	71	102	109	92	102	71	102	108	78	71	78	71	72	102	94	99	72	109	99	71	71	103	71	79	102	71	94	102	73	94	80	98	70	106	71	72	72	99	105	74	101	104	78	73	104	71	78	71	71	74	72
23IE195_S34_L001	65	95	93	98	92	64	98	0	65	95	98	100	65	65	23	24	67	93	77	101	20	87	95	13	84	77	94	92	88	98	94	95	23	79	98	21	94	88	91	20	28	99	96	95	37	42	93	88	0	88	13	65	0	82	97	13	82	13	88	10	13	77	94	66	65	89	95	95	99	20	88	94	88	12	94	93	98	93	83	92	45	88	98	94	13	24	92	92	88	95	95	89	97	28	70	77	95	87	94	98	91	94	97	23	13	23	13	89	96	82	100	98	94	20	65	13	82	37	94	94	77	78	98	67	96	96	93	94	67	90	13	94	88	25	98	84	82	23	66	87	82	13	88	98	89	94	93	97	93	23	67	92	97	84	94	99	93	93	67	90	93	89	88	95	65	95	65	94	12	93	96	96	88	97	88	96	92	93	84	69	91	94	95	101	82	97	88	88	88	94	92	13	94	95	13	65	94	93	95	95	70	94	97	94	88	79	94	99	94	98	88	92	13	89	93	13	97	95	94	94	95	23	82	103	94	23	60	95	88	92	87	88	95	88	87	78	93	88	67	37	88	95	88	94	100	95	100	95	92	88	98	13	82	99	87	95	95	23	95	89	88	95	98	88	93	98	91	0	79	97	95	82	82	87	69	74	23	83	94	93	28	93	88	95	95	74	96
ERR12861633	0	74	74	95	73	67	81	65	0	74	95	99	0	0	66	68	14	70	77	109	65	86	74	65	87	77	67	73	83	95	73	74	66	66	83	32	73	83	90	65	71	98	71	76	66	43	74	83	65	103	66	0	65	61	76	66	61	66	83	59	66	61	93	77	0	72	74	74	98	65	83	93	83	64	93	74	83	74	88	73	10	83	95	93	66	61	73	73	103	74	74	80	92	73	9	61	76	86	75	95	90	93	76	66	66	66	66	80	71	61	85	81	93	65	0	66	61	66	75	93	61	103	95	82	75	71	82	93	14	71	66	73	83	60	95	87	61	66	67	86	61	66	83	81	72	93	82	76	70	66	82	73	76	87	67	98	70	70	82	73	74	72	83	74	0	74	0	93	62	74	71	81	86	76	103	71	73	70	87	80	90	93	74	109	61	76	83	67	83	73	73	66	67	74	66	0	75	74	74	74	9	93	76	93	83	66	67	98	75	95	103	73	66	72	70	66	92	74	93	93	74	66	61	99	73	66	96	74	83	73	86	83	74	103	86	103	70	83	82	66	83	74	83	93	85	74	85	74	73	83	95	66	61	98	86	74	74	68	74	80	83	74	95	83	74	95	72	65	66	92	74	61	61	86	80	59	66	88	67	74	71	70	67	74	74	59	75
ERR3524774	74	0	12	73	11	85	71	95	74	0	73	107	74	74	104	104	66	20	76	122	99	97	0	94	77	76	25	11	69	73	0	0	104	29	87	22	1	69	90	99	105	106	27	10	89	61	12	69	95	121	95	74	96	27	2	95	27	95	69	90	95	28	84	101	74	13	0	0	106	99	69	84	69	93	84	12	87	12	95	11	40	69	73	84	95	99	11	11	121	0	0	29	78	107	65	28	10	97	51	73	90	84	2	104	95	104	95	29	27	27	51	71	84	99	74	95	27	89	1	84	28	110	73	106	1	27	64	84	66	12	95	1	69	109	73	77	27	104	61	97	27	96	69	71	13	84	64	2	20	104	106	11	2	77	23	106	20	20	106	17	12	13	69	0	74	0	74	84	88	12	27	34	76	2	121	27	11	20	77	104	90	84	0	122	27	2	69	31	69	1	11	95	25	0	95	74	51	12	0	0	65	84	2	84	69	29	23	106	1	73	121	11	95	13	20	95	78	0	84	84	0	104	27	90	0	104	141	0	69	11	97	69	0	121	97	110	20	69	106	89	69	0	69	84	51	0	51	0	11	69	73	95	27	106	97	0	0	102	0	29	69	0	73	69	12	73	32	95	29	78	0	27	27	97	104	29	104	95	23	12	105	20	31	0	0	29	1
