gene_id	n	annotation_id	gene_length	p	size	dn	ds	dn_ds	locus_tag	pos	gene_id_prokka	bonferroni	fdr	holm
COQ5_3	2	IMFOIEKC_03961	750	0.2944434745621918	3	2	1	2	IMFOIEKC_03961:COQ5_5	4.231466	COQ5	1	0.488980944056917	1
COQ5_4~~~COQ5_2	2	IMFOIEKC_00795	972	0.4090351677516553	2	2	0	Inf	IMFOIEKC_00795:COQ5_1	0.786812	COQ5	1	0.5628950333447744	1
COQ5_8~~~COQ5_7	1	IMFOIEKC_03849	627	0.5953402186567904	1	1	0	Inf	IMFOIEKC_03849:COQ5_4	4.129887	COQ5	1	0.7059865948857048	1
COQ5_9~~~COQ5_11~~~COQ5_1	2	IMFOIEKC_04559	747	0.2928558525002285	3	2	2	1	IMFOIEKC_04559:COQ5_6	4.863648	COQ5	1	0.487886705645201	1
Dml	1	IMFOIEKC_02558	768	0.6698340359943571	4	1	3	0.3333333333333333	IMFOIEKC_02558:Dml	2.766445	Dml	1	0.7497574152891384	1
Hgd	3	IMFOIEKC_03338	816	0.11565341591711191	2	3	0	Inf	IMFOIEKC_03338:Hgd	3.609976	Hgd	1	0.29351011833392654	1
PE5_1~~~PE5_2	1	IMFOIEKC_00419	306	0.3569497652108168	1	1	0	Inf	IMFOIEKC_00419:PE5_1	0.424035	PE5	1	0.5311932331979358	1
PE5_2	1	IMFOIEKC_04286	309	0.35972735241033016	1	1	0	Inf	IMFOIEKC_04286:PE5_2	4.562007	PE5	1	0.5322789626713171	1
PPE2_2~~~PPE3_2~~~PPE3_1~~~PPE3_4	5	IMFOIEKC_04290	1467	0.06380167105148185	5	5	1	5	IMFOIEKC_04290:PPE3_3	4.570094	PPE3	1	0.21348499697905604	1
PPE2~~~PPE2_2~~~PPE2_1	4	IMFOIEKC_02924	1659	0.21998187163877217	5	4	2	2	IMFOIEKC_02924:PPE2	3.180055	PPE2	1	0.42023203600327874	1
PPE3_6~~~PPE3_1~~~PPE3_2~~~PPE3_3	4	IMFOIEKC_03774	1596	0.20124171301262647	3	4	0	Inf	IMFOIEKC_03774:PPE3_2	4.052632	PPE3	1	0.39944198955654825	1
PPE4_2~~~PPE3_2~~~PPE3_4	1	IMFOIEKC_01097	1458	0.8780046288941914	3	1	2	0.5	IMFOIEKC_01097:PPE3_1	1.088344	PPE3	1	0.888718879343125	1
PPE4~~~PPE4_1~~~PPE4_2	3	IMFOIEKC_04285	1482	0.36072724623499774	3	3	0	Inf	IMFOIEKC_04285:PPE4	4.560522	PPE4	1	0.5323091199123188	1
QRSL1~~~nylA	3	IMFOIEKC_00593	1497	0.3665545285017039	3	3	1	3	IMFOIEKC_00593:nylA	0.591536	nylA	1	0.5353938247624517	1
SIRT4~~~cobB_6~~~cobB_2	1	IMFOIEKC_02564	849	0.7062528929037168	3	1	2	0.5	IMFOIEKC_02564:cobB_2	2.772274	cobB	1	0.7655120764898609	1
aao_1~~~aao	4	IMFOIEKC_01606	966	0.053034926048723445	3	4	0	Inf	IMFOIEKC_01606:aao	1.735966	aao	1	0.1891019082642266	1
abaF_3~~~abaF_1~~~abaF_2	3	IMFOIEKC_00631	1320	0.29753508546338103	3	3	3	1	IMFOIEKC_00631:abaF_1	0.629241	abaF	1	0.4896081355711955	1
accA1_1	6	IMFOIEKC_02621	2016	0.0750153860754326	7	6	2	3	IMFOIEKC_02621:accA1_1	2.837939	accA1	1	0.23692234159294945	1
accA1_2	7	IMFOIEKC_03169	1992	0.027564009005390595	9	7	4	1.75	IMFOIEKC_03169:accA1_2	3.437229	accA1	1	0.13370869814387584	1
accD3	4	IMFOIEKC_03228	1437	0.15637164891353247	4	4	0	Inf	IMFOIEKC_03228:accD3	3.507003	accD3	1	0.33898448237651607	1
accD5_1	3	IMFOIEKC_00250	1575	0.3966807059573386	5	3	4	0.75	IMFOIEKC_00250:accD5_1	0.251427	accD5	1	0.5537337854376692	1
accD5_2	6	IMFOIEKC_03168	1596	0.03013161793157549	5	6	2	3	IMFOIEKC_03168:accD5_2	3.435628	accD5	1	0.13804485424465981	1
accD5_3	1	IMFOIEKC_03678	1641	0.9063158148889103	2	1	1	1	IMFOIEKC_03678:accD5_3	3.948395	accD5	1	0.9103592888877773	1
accD6	8	IMFOIEKC_02213	1422	0.0012867569744035637	5	8	3	2.6666666666666665	IMFOIEKC_02213:accD6	2.372299	accD6	1	0.03168639049468776	1
acdA_2~~~caiA_5	2	IMFOIEKC_02680	1149	0.4935706851590953	5	2	3	0.6666666666666666	IMFOIEKC_02680:acdA_4	2.911624	acdA	1	0.6293425564811765	1
acdA_4	7	IMFOIEKC_03840	1161	0.0017280393342257233	5	7	1	7	IMFOIEKC_03840:acdA_5	4.119486	acdA	1	0.034473291022022026	1
acdA_5	8	IMFOIEKC_00339	1383	0.0010815204884024278	9	8	3	2.6666666666666665	IMFOIEKC_00339:acdA_1	0.348839	acdA	1	0.028889428639359765	1
acdA_6	1	IMFOIEKC_00445	1212	0.8260199656156442	4	1	3	0.3333333333333333	IMFOIEKC_00445:acdA_2	0.447616	acdA	1	0.8458787951983464	1
acdA_7~~~bcd	4	IMFOIEKC_00671	1206	0.09928793815215073	4	4	1	4	IMFOIEKC_00671:bcd	0.669684	bcd	1	0.27119201131332676	1
